dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
California Housing,Parsimonious,2500,5,XGBoost,5,0.3583672440310002,0.2755025320108885,0.6339601528584864,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,2500,5,TabPFN,1,0.3310009244251606,0.2555496126289607,0.6352159033455456,{}
California Housing,Parsimonious,2500,5,TabPFN,2,0.3481567492611483,0.2692237140691416,0.6245405134295383,{}
California Housing,Parsimonious,2500,5,TabPFN,3,0.3188423294734892,0.2430217264689983,0.6808079458554648,{}
California Housing,Parsimonious,2500,5,TabPFN,4,0.3448438785727832,0.259206027394897,0.6360168824242953,{}
California Housing,Parsimonious,2500,5,TabPFN,5,0.3421588220833548,0.2599092386223949,0.6663222595529699,{}
California Housing,Extended,2500,5,Ridge,1,0.3161292234766054,0.2370874766226962,0.6672586517278469,{'model__alpha': 1}
California Housing,Extended,2500,5,Ridge,2,0.3393029994201574,0.2570334213911502,0.6433938389677933,{'model__alpha': 0.001}
California Housing,Extended,2500,5,Ridge,3,0.3402306391095165,0.2520453538684182,0.6365480806252186,{'model__alpha': 1}
California Housing,Extended,2500,5,Ridge,4,0.3747188167464629,0.2532683566853796,0.5702190096316051,{'model__alpha': 0.001}
California Housing,Extended,2500,5,Ridge,5,0.3349922049139726,0.25885507865414,0.6801538301841169,{'model__alpha': 1}
California Housing,Extended,2500,5,Random Forest,1,0.2529145180318302,0.1896727548048314,0.7870267773298967,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,2500,5,Random Forest,2,0.2762681832202087,0.2078855137870653,0.7635849129661231,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,2500,5,Random Forest,3,0.2644414932790179,0.1944114118235592,0.7804369138200631,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,2500,5,Random Forest,4,0.2660529564954261,0.1944243705658498,0.7833431737509973,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,2500,5,Random Forest,5,0.2671949711077549,0.1971830441242477,0.7965169157872607,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,2500,5,XGBoost,1,0.2380042734108381,0.1782139712742973,0.8113976964269505,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,2500,5,XGBoost,2,0.24318668011517,0.1811106402988962,0.8168136908857009,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
California Housing,Extended,2500,5,XGBoost,3,0.2596952917054335,0.1889184347620554,0.7882476315675447,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,2500,5,XGBoost,4,0.2310514124553697,0.1719277724101194,0.8365994726454147,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,2500,5,XGBoost,5,0.2433450434446976,0.1780388255382237,0.8312216405339891,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
California Housing,Extended,2500,5,TabPFN,1,0.1955987767167055,0.1364463017726236,0.872617504809527,{}
California Housing,Extended,2500,5,TabPFN,2,0.2013389611968258,0.1413581457974697,0.874434858138894,{}
California Housing,Extended,2500,5,TabPFN,3,0.2162482022609372,0.1467689608966205,0.8531732667722931,{}
California Housing,Extended,2500,5,TabPFN,4,0.1967845247010368,0.1387297996842635,0.8814727843000429,{}
California Housing,Extended,2500,5,TabPFN,5,0.2068226647785943,0.1411640009308474,0.8780819492323007,{}
California Housing,Parsimonious,5000,5,Ridge,1,0.3944377976852224,0.2947048071628019,0.4842998926369158,{'model__alpha': 10}
California Housing,Parsimonious,5000,5,Ridge,2,0.4090198408918389,0.3168215938232191,0.4981748236904918,{'model__alpha': 10}
California Housing,Parsimonious,5000,5,Ridge,3,0.4538809975818922,0.3298372696505995,0.3991323257554844,{'model__alpha': 10}
California Housing,Parsimonious,5000,5,Ridge,4,0.4006029276592858,0.3131658862453442,0.4899362554243264,{'model__alpha': 1}
California Housing,Parsimonious,5000,5,Ridge,5,0.4039585530759952,0.3112823110143664,0.4949667281183605,{'model__alpha': 100}
California Housing,Parsimonious,5000,5,Random Forest,1,0.3452092351550079,0.2577736492573704,0.6049928267130238,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,5000,5,Random Forest,2,0.3524718438281016,0.2699092514620614,0.6273401921210155,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,5000,5,Random Forest,3,0.3682262967661335,0.274068621976597,0.6045200784094147,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
California Housing,Parsimonious,5000,5,Random Forest,4,0.3491195026706949,0.2704110805047043,0.6126135394865834,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,5000,5,Random Forest,5,0.3486168231024846,0.2642263073304602,0.6238655981137953,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,5000,5,XGBoost,1,0.3379294872189,0.253783586177139,0.6214769333893913,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,5000,5,XGBoost,2,0.3515328380560171,0.2697185140808641,0.6293231226730683,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}"
California Housing,Parsimonious,5000,5,XGBoost,3,0.369678772669805,0.2736223283365624,0.6013939683132925,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,5000,5,XGBoost,4,0.3510066476261297,0.2707368392788446,0.608414231026494,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,5000,5,XGBoost,5,0.346428236642441,0.2616933093721804,0.6285734527379188,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,5000,5,TabPFN,1,0.3324992654251729,0.2482117068394881,0.633544240657601,{}
California Housing,Parsimonious,5000,5,TabPFN,2,0.3408589649398953,0.2599882924108997,0.6514916910955395,{}
California Housing,Parsimonious,5000,5,TabPFN,3,0.3561979584456659,0.2658018422678889,0.6299352740265445,{}
California Housing,Parsimonious,5000,5,TabPFN,4,0.3459369008664095,0.2650117071052845,0.6196442395465058,{}
California Housing,Parsimonious,5000,5,TabPFN,5,0.3376393281100285,0.2525410200528572,0.647180622425356,{}
California Housing,Extended,5000,5,Ridge,1,0.3182488734283014,0.2346128478262704,0.66428254575568,{'model__alpha': 1}
California Housing,Extended,5000,5,Ridge,2,0.3285437643599901,0.2520332287394546,0.6762199001351634,{'model__alpha': 10}
California Housing,Extended,5000,5,Ridge,3,0.3470085000204634,0.2598300834143489,0.6487833753102108,{'model__alpha': 1}
California Housing,Extended,5000,5,Ridge,4,0.3585126032732736,0.2606185382080446,0.59148776108256,{'model__alpha': 10}
