specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
Extended,2000,5,XGBoost,5,0.1212974395216066,0.0867240099926324,0.8987337228883554,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2000,5,TabPFN,1,0.1145315700486057,0.0794237795261402,0.9153333067544976,{}
Extended,2000,5,TabPFN,2,0.1519714873175244,0.0860072655464036,0.8756511802743583,{}
Extended,2000,5,TabPFN,3,0.1401573188764723,0.0843659063953876,0.8918845988011537,{}
Extended,2000,5,TabPFN,4,0.115340082198702,0.0797404445440897,0.9124792118835364,{}
Extended,2000,5,TabPFN,5,0.1204854612147584,0.0791259478545581,0.9000849600714906,{}
Parsimonious,2930,5,OLS,1,0.2182653517493251,0.16535546511587504,0.7117326890299913,{}
Parsimonious,2930,5,OLS,2,0.2661455596292376,0.17755189148784592,0.5860781514531654,{}
Parsimonious,2930,5,OLS,3,0.2561230266441935,0.16723886738240132,0.6014308109618467,{}
Parsimonious,2930,5,OLS,4,0.21531541268380233,0.15286690438337172,0.7152323487129264,{}
Parsimonious,2930,5,OLS,5,0.2314271002038708,0.1709220804802242,0.6780299865479372,{}
Parsimonious,2930,5,Random Forest,1,0.20028014214915887,0.14544744055841272,0.7572822265384579,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
Parsimonious,2930,5,Random Forest,2,0.23344371034736125,0.1569721783258761,0.6815477983007053,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
Parsimonious,2930,5,Random Forest,3,0.21715759365425022,0.148743522457043,0.7134789635557915,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
Parsimonious,2930,5,Random Forest,4,0.2016696160850214,0.14051896709168243,0.7501833620836069,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
Parsimonious,2930,5,Random Forest,5,0.20470765738206845,0.14850856744246033,0.7480843344822042,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
Parsimonious,2930,5,XGBoost,1,0.19805568069005527,0.14685481601982672,0.7626438961367832,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
Parsimonious,2930,5,XGBoost,2,0.2294315738421932,0.1565625459062667,0.6924000433958265,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Parsimonious,2930,5,XGBoost,3,0.21015015747830143,0.14723638278059042,0.7316720504588066,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Parsimonious,2930,5,XGBoost,4,0.2033613145635565,0.14156401112209369,0.7459746272465326,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Parsimonious,2930,5,XGBoost,5,0.20661525934787317,0.15263279230054216,0.7433674236496381,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Parsimonious,2930,5,TabPFN,1,0.18274509351115506,0.13324776386422288,0.7979228312010804,{}
Parsimonious,2930,5,TabPFN,2,0.22561743484913901,0.1472551619809864,0.7025422998842497,{}
Parsimonious,2930,5,TabPFN,3,0.20955200701831064,0.14120586970203677,0.7331973604759567,{}
Parsimonious,2930,5,TabPFN,4,0.1946501151540097,0.1339951966419643,0.7672714058180959,{}
Parsimonious,2930,5,TabPFN,5,0.19726183006952913,0.1440821028287655,0.7660768980669078,{}
Extended,2930,5,OLS,1,0.11982291774428301,0.09104258537291689,0.9131228473142673,{}
Extended,2930,5,OLS,2,0.16501381392846973,0.09430775713254526,0.8408815624465831,{}
Extended,2930,5,OLS,3,0.16682100739550856,0.09256801549993367,0.8309138828066577,{}
Extended,2930,5,OLS,4,0.12946727552526174,0.09170104088577706,0.8970419202569131,{}
Extended,2930,5,OLS,5,0.12386235451052653,0.09119968733095411,0.9077713904877336,{}
Extended,2930,5,Random Forest,1,0.12391888590105908,0.08991103010369304,0.9070817978780301,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,2930,5,Random Forest,2,0.15295653348061888,0.09823417709096591,0.8632850631527338,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
