dataset,specification,sample_size,outer_folds,model,zipcode_representation,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,result_source
King County,Extended,21613,5,Random Forest,One-hot encoded,0.1769376316873829,0.0018766880117291,0.1243908768248934,0.0011569098387297,0.8870574567764471,0.0037606091164675,5-fold sample-size experiment
King County,Extended,21613,5,XGBoost,One-hot encoded,0.1679613677140589,0.0015473963434384,0.1212118206566246,0.0011470042764253,0.8982379002140222,0.002828165108765,5-fold sample-size experiment
King County,Extended,21613,5,TabPFN,Category-coded,0.1543733773603511,0.0015462887625908,0.1074480265810456,0.0009812634214612,0.9140298884286252,0.0027248230317115,5-fold sample-size experiment
California Housing,Parsimonious,1000,5,OLS,Not applicable,0.4081401967935155,0.0098034526335543,0.3110728145832163,0.0117253015118376,0.486573571791329,0.0483206603215557,5-fold sample-size experiment
California Housing,Parsimonious,1000,5,Ridge,Not applicable,0.4080149347532867,0.0102351869623712,0.3119425547907465,0.0116565152146151,0.4869853398330699,0.04723609409389,5-fold sample-size experiment
California Housing,Parsimonious,1000,5,Random Forest,Not applicable,0.3603471122785237,0.02435911421624,0.2764995343116241,0.0201501463576391,0.5980410808504122,0.0633802434023399,5-fold sample-size experiment
California Housing,Parsimonious,1000,5,XGBoost,Not applicable,0.3583172677276606,0.0189626769164927,0.2752559312219766,0.0153433337107701,0.6039920025055736,0.0472738975055877,5-fold sample-size experiment
California Housing,Parsimonious,1000,5,TabPFN,Not applicable,0.3395186960347521,0.0204491787757336,0.2591328208381137,0.0151323364026664,0.6434647681825757,0.0528493049967181,5-fold sample-size experiment
California Housing,Parsimonious,2500,5,OLS,Not applicable,0.4074627221079843,0.0106302946493536,0.3095859914400687,0.0087773975899869,0.4853022440830889,0.0468206529565652,5-fold sample-size experiment
California Housing,Parsimonious,2500,5,Ridge,Not applicable,0.4069593315852677,0.0099453933073178,0.3099836402493731,0.0088074512433784,0.4866884037910405,0.0445081442520802,5-fold sample-size experiment
California Housing,Parsimonious,2500,5,Random Forest,Not applicable,0.3484303223258466,0.0104260168186713,0.2670106721227017,0.0079018008906991,0.6246877100770937,0.0149748762140874,5-fold sample-size experiment
California Housing,Parsimonious,2500,5,XGBoost,Not applicable,0.3498470867183484,0.0112447231345687,0.2687658175952057,0.0097848832064252,0.6215770896146317,0.017685719423314,5-fold sample-size experiment
California Housing,Parsimonious,2500,5,TabPFN,Not applicable,0.3370005407631872,0.0120239639436027,0.2573820638368785,0.0094804443781597,0.6485807009215627,0.023810481845362,5-fold sample-size experiment
California Housing,Parsimonious,5000,5,OLS,Not applicable,0.4118169765108654,0.0245205912342457,0.3119578258144145,0.0128944375394338,0.4746591731656935,0.0443287487756063,5-fold sample-size experiment
California Housing,Parsimonious,5000,5,Ridge,Not applicable,0.4123800233788469,0.0237968815952757,0.3131623735792662,0.012606133996873,0.4733020051251158,0.0417935715041591,5-fold sample-size experiment
California Housing,Parsimonious,5000,5,Random Forest,Not applicable,0.3527287403044845,0.0090376665841887,0.2672777821062386,0.0063737299810522,0.6146664469687665,0.0105592418158,5-fold sample-size experiment
California Housing,Parsimonious,5000,5,XGBoost,Not applicable,0.3513151964426585,0.0116235008668454,0.2659109154491181,0.008094960672583,0.6178363416280329,0.0124460175412098,5-fold sample-size experiment
California Housing,Parsimonious,5000,5,TabPFN,Not applicable,0.3426264835574344,0.009023582742179,0.2583109137352837,0.0077316540002777,0.6363592135503093,0.0129872648586734,5-fold sample-size experiment
California Housing,Parsimonious,10000,5,OLS,Not applicable,0.4057916920822452,0.0097774575527467,0.3092976789029774,0.0057364165594884,0.4874741897025529,0.0174085922766844,5-fold sample-size experiment
California Housing,Parsimonious,10000,5,Ridge,Not applicable,0.4059098110555272,0.0095761307369948,0.3097205695101254,0.0052538336034078,0.487180294556834,0.0168917968289775,5-fold sample-size experiment
California Housing,Parsimonious,10000,5,Random Forest,Not applicable,0.35307638207346,0.0062530380764863,0.268086396753887,0.0038436398769336,0.6119688104321173,0.0105245319465291,5-fold sample-size experiment
California Housing,Parsimonious,10000,5,XGBoost,Not applicable,0.3511944490207211,0.006993880067257,0.2668134672092038,0.0054544140299751,0.6160728232523242,0.0124228497862968,5-fold sample-size experiment
California Housing,Parsimonious,10000,5,TabPFN,Not applicable,0.3440816412085328,0.005652482081555,0.2595491758263656,0.0040694263874862,0.6314574266909186,0.0107706376349409,5-fold sample-size experiment
California Housing,Parsimonious,20640,5,OLS,Not applicable,0.4099962153157009,0.0089719153501184,0.3117688352662127,0.0038286143918905,0.4807479602781159,0.0204318359010266,5-fold sample-size experiment
California Housing,Parsimonious,20640,5,Ridge,Not applicable,0.4100912493562759,0.0088981715067438,0.3120638737480475,0.0036378589847232,0.4805111366802458,0.0202030933191488,5-fold sample-size experiment
California Housing,Parsimonious,20640,5,Random Forest,Not applicable,0.3525574861794988,0.0077463249269827,0.2659234506440574,0.0051297634789135,0.6160060549660485,0.0163173850173262,5-fold sample-size experiment
California Housing,Parsimonious,20640,5,XGBoost,Not applicable,0.3512998968639637,0.0080353666661006,0.2651235477530179,0.0054531055896267,0.6187285350860166,0.0168956411521317,5-fold sample-size experiment
