"dataset","specification","sample_size","outer_folds","model","zipcode_representation","completed_folds","n_test_n_train_ratio","rmse_mean","rmse_sample_variance","rmse_std","rmse_corrected_se","mae_mean","mae_sample_variance","mae_std","mae_corrected_se","r2_mean","r2_sample_variance","r2_std","r2_corrected_se"
"Ames Housing","Extended","2000","5","XGBoost","Not applicable","5","0.25","0.137431332044079","0.000271051270383367","0.0164636347865035","0.0110441419618056","0.0901333713254002","9.2160475725636E-06","0.00303579438904607","0.00203647278588584","0.8846853170181","0.000245909069155663","0.0156814881039927","0.0105194620166646"
"Ames Housing","Extended","2000","5","TabPFN","Not applicable","5","0.25","0.128497183931213","0.00027983426610433","0.0167282475503063","0.0112216496000788","0.0817326687733158","1.03252597075787E-05","0.0032132942142883","0.00215554328845662","0.899086651557007","0.000261350493808479","0.0161663382931473","0.0108447094112206"
"Ames Housing","Extended","2930","5","OLS","Not applicable","5","0.25","0.14099747382081","0.000529639772500167","0.0230139038952579","0.0154381960612332","0.0921638172444254","1.79018095787193E-06","0.00133797644144878","0.00089754188261182","0.877946320662431","0.00151935281337519","0.0389788765022183","0.0261478252636588"
"Ames Housing","Extended","2930","5","Ridge","Not applicable","5","0.25","0.140813591911606","0.000562941222697059","0.0237263824190933","0.0159161411847746","0.091521195346046","3.88902292752344E-06","0.00197206057907039","0.0013228984531647","0.878131483054219","0.00161277031389345","0.0401593116710614","0.0269396852478282"
"Ames Housing","Extended","2930","5","Random Forest","Not applicable","5","0.25","0.138894851993497","0.000149295729496037","0.0122186631632121","0.00819652842813447","0.0931781298060699","1.85005784787533E-05","0.00430122987978476","0.00288535271941559","0.883224931721925","0.000370607797911295","0.0192511765331705","0.0129140818125054"
"Ames Housing","Extended","2930","5","XGBoost","Not applicable","5","0.25","0.129578899025588","0.00017063352554423","0.0130626768138935","0.00876270999719284","0.0858508706196403","1.1388957362612E-05","0.00337475293356595","0.00226385309001609","0.898162037293962","0.000387036926151789","0.0196732540814119","0.0131972200393986"
"Ames Housing","Extended","2930","5","TabPFN","Not applicable","5","0.25","0.119425826140263","0.000275257882953843","0.0165908975933746","0.011129512447957","0.077257772586075","1.57428250539816E-05","0.00396772290539317","0.00266162943970263","0.912864035932315","0.000553384870671067","0.023524133792152","0.0157804686813155"
"King County","Parsimonious","1000","5","OLS","Not applicable","5","0.25","0.36805548132227","0.000432309871133054","0.0207920626954868","0.0139477396738638","0.29335235874524","0.000237834324210603","0.0154218781025724","0.0103453103334202","0.541042650234497","0.00246095144280953","0.0496079776125729","0.0332780430504002"
"King County","Parsimonious","1000","5","Ridge","Not applicable","5","0.25","0.368096197784529","0.000432186768400926","0.0207891021547571","0.0139457536827673","0.293547559851372","0.000242676698878475","0.0155780839283422","0.0104500963868911","0.540934759369056","0.00247018770173881","0.049700982905158","0.0333404328973465"
"King County","Parsimonious","1000","5","Random Forest","Not applicable","5","0.25","0.365157326618661","0.000525882431008239","0.022932126613296","0.0153833381927886","0.292708829859119","0.000408362242020471","0.0202079747134756","0.0135559215440785","0.547932229881201","0.00306497902073963","0.0553622526703857","0.0371381281075505"
"King County","Parsimonious","1000","5","XGBoost","Not applicable","5","0.25","0.353645707455894","0.000494771926579234","0.0222434693017801","0.014921372824263","0.283826946286241","0.000268025986721173","0.0163714992203272","0.0109823355450709","0.574988214844776","0.00380523690358887","0.0616866023021925","0.0413806308146093"
"King County","Parsimonious","1000","5","TabPFN","Not applicable","5","0.25","0.34525132911617","0.000287109885424123","0.0169443172014727","0.0113665935284436","0.274964367358258","0.000239394394166185","0.01547237519472","0.0103791848126326","0.593124140550303","0.00485832338781329","0.0697016742109778","0.0467573045043871"
"King County","Parsimonious","2500","5","OLS","Not applicable","5","0.25","0.361804893655286","0.000116288645170812","0.0107837213043927","0.00723394016611041","0.290388461615237","6.65627154358258E-05","0.0081585976390447","0.00547295367659197","0.547897348725877","0.000993633178219555","0.0315219475638729","0.0211455652608011"
"King County","Parsimonious","2500","5","Ridge","Not applicable","5","0.25","0.361837361311013","0.000118307065426346","0.0108769051400822","0.00729644978341217","0.290468438204616","6.84254437112927E-05","0.00827196734225255","0.00554900438548049","0.547813002580178","0.00100440924577011","0.0316924162185547","0.0212599191107715"
"King County","Parsimonious","2500","5","Random Forest","Not applicable","5","0.25","0.354255776046886","0.000269679169583664","0.0164219112646386","0.0110161529724604","0.279934261499476","0.000156078202716401","0.0124931262187012","0.00838064384295027","0.565634528851218","0.00242237823852827","0.0492176618555603","0.0330162112807894"
"King County","Parsimonious","2500","5","XGBoost","Not applicable","5","0.25","0.347143024190547","0.000151953488964847","0.0123269415900639","0.00826916380501566","0.277244300096005","7.6578831504179E-05","0.0087509331790489","0.00587030443647351","0.582637755092499","0.0022080217037553","0.0469895914406085","0.0315215762088428"
"King County","Parsimonious","2500","5","TabPFN","Not applicable","5","0.25","0.336493943464279","0.000137081340406581","0.0117081740850818","0.0078540819439933","0.264296477125645","5.45972238837158E-05","0.00738899342831727","0.00495668747730499","0.608431912478658","0.00135343324339125","0.0367890370000527","0.0246788362676618"
"King County","Parsimonious","5000","5","OLS","Not applicable","5","0.25","0.357963256194033","0.000106234136355272","0.0103069945355216","0.00691414212754355","0.28733692509105","4.03464104211023E-05","0.00635188243130352","0.00426097227044439","0.540974033311746","0.00061477057724701","0.0247945674946552","0.0166327015172267"
"King County","Parsimonious","5000","5","Ridge","Not applicable","5","0.25","0.357988278263965","0.000105888312906863","0.0102902047067521","0.00690287916800579","0.287408211167709","3.98553949858989E-05","0.00631311293942211","0.00423496490465441","0.540905746064461","0.000618641570991004","0.0248725063270874","0.0166849844754483"
"King County","Parsimonious","5000","5","Random Forest","Not applicable","5","0.25","0.345835201215108","3.63883592277195E-05","0.00603227645484849","0.0040465740636338","0.272958033098172","3.5560644975659E-05","0.0059632746855783","0.00400028626963703","0.571324275263387","0.000579014190171804","0.0240627136909328","0.0161417590608122"
