dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params,zipcode_representation
King County,Parsimonious,5000,5,XGBoost,1,0.3466405593625033,0.2775197239412554,0.5872847627749952,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",Not applicable
King County,Parsimonious,5000,5,XGBoost,2,0.3402883177822399,0.270202122953832,0.5700882852401499,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,5000,5,XGBoost,3,0.3274842045112328,0.2616993011491316,0.6030168881934556,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,5000,5,XGBoost,4,0.3437795161402551,0.2705317784295812,0.5555345939663325,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,5000,5,XGBoost,5,0.3426044191800407,0.2688743653706645,0.6108847283202454,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Extended,5000,5,Ridge,1,0.1869700725203217,0.1378170231483442,0.8799296041576885,{'model__alpha': 0.1},One-hot encoded
King County,Extended,5000,5,Ridge,2,0.1904385585461432,0.1400324479725215,0.8653535303685105,{'model__alpha': 0.01},One-hot encoded
King County,Extended,5000,5,Ridge,3,0.1783172818836176,0.1342937573578557,0.8822995325821098,{'model__alpha': 0.1},One-hot encoded
King County,Extended,5000,5,Ridge,4,0.1939045895035485,0.1415855535269759,0.8585984567922477,{'model__alpha': 0.1},One-hot encoded
King County,Extended,5000,5,Ridge,5,0.1912675729841438,0.1392960766431185,0.8787239484146161,{'model__alpha': 0.1},One-hot encoded
King County,Extended,5000,5,Random Forest,1,0.189683522045708,0.1354845584410834,0.8764192121810436,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,5000,5,Random Forest,2,0.1981326793775607,0.1381263740771773,0.8542537380506483,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,5000,5,Random Forest,3,0.1800447608726991,0.1305869078296331,0.8800079996978515,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,5000,5,Random Forest,4,0.2005881740546338,0.1402589984628656,0.8486826864435708,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",One-hot encoded
King County,Extended,5000,5,Random Forest,5,0.1919793628104172,0.1360269935606418,0.8778196269850671,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,5000,5,XGBoost,1,0.1749954077154931,0.1259344276356179,0.8948171211368166,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,5000,5,XGBoost,2,0.1755477779745411,0.1254871925003968,0.8855868683325414,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,5000,5,XGBoost,3,0.1602861434037819,0.1189590482214893,0.9048993958906872,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,5000,5,XGBoost,4,0.1766232599241977,0.1253821306108229,0.8826795379278992,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,5000,5,XGBoost,5,0.1772804708476116,0.1279509550621276,0.8958128524715583,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Parsimonious,5000,5,TabPFN,1,0.3386820987058099,0.2683547495908782,0.6060181328973713,{},Not applicable
King County,Parsimonious,5000,5,TabPFN,2,0.3346618675363957,0.2629864200163709,0.5841873856492048,{},Not applicable
King County,Parsimonious,5000,5,TabPFN,3,0.3234438724646192,0.2561072151497424,0.6127520097670809,{},Not applicable
King County,Parsimonious,5000,5,TabPFN,4,0.3401032843565422,0.2641094376307576,0.5649896158702282,{},Not applicable
King County,Parsimonious,5000,5,TabPFN,5,0.3354543539111299,0.2621414864055711,0.6269567200634883,{},Not applicable
King County,Extended,5000,5,TabPFN,1,0.1617643019114623,0.1146335883064318,0.9101212290071964,{},Category-coded
King County,Extended,5000,5,TabPFN,2,0.1639839392499374,0.1143369557488889,0.900163848933718,{},Category-coded
King County,Extended,5000,5,TabPFN,3,0.1464332121727215,0.1075177573362031,0.9206274204228482,{},Category-coded
King County,Extended,5000,5,TabPFN,4,0.1695361675604305,0.1164623438786614,0.8919057244226059,{},Category-coded
King County,Extended,5000,5,TabPFN,5,0.1645358597380867,0.1159115635172993,0.9102543340465724,{},Category-coded
King County,Parsimonious,1000,5,OLS,1,0.3928723102590338,0.3028053874291349,0.5886756274568617,{},Not applicable
King County,Parsimonious,1000,5,OLS,2,0.3543338207115496,0.2876906078776466,0.4782898870201112,{},Not applicable
King County,Parsimonious,1000,5,OLS,3,0.3412560156552857,0.2697735430345252,0.5853249390790092,{},Not applicable
King County,Parsimonious,1000,5,OLS,4,0.3823712465739435,0.3094986569557097,0.5514698880620181,{},Not applicable
King County,Parsimonious,1000,5,OLS,5,0.3694440134115385,0.2969935984291817,0.5014529095544857,{},Not applicable
King County,Extended,1000,5,OLS,1,0.2045672228204244,0.1517855577258348,0.8884797585530517,{},One-hot encoded
King County,Extended,1000,5,OLS,2,0.2103000202978343,0.1524166176744893,0.8162265915957575,{},One-hot encoded
King County,Extended,1000,5,OLS,3,0.2185157196500553,0.1559746530622867,0.829975050272921,{},One-hot encoded
King County,Extended,1000,5,OLS,4,0.2170613939399505,0.1542657488726706,0.8554605738590055,{},One-hot encoded
King County,Extended,1000,5,OLS,5,0.1928402595844612,0.1447309735269376,0.8641672998636907,{},One-hot encoded
King County,Parsimonious,2500,5,OLS,1,0.3738232740550197,0.2995057542572218,0.510534688747014,{},Not applicable
King County,Parsimonious,2500,5,OLS,2,0.3724135299375303,0.2912149065461571,0.5691916460698008,{},Not applicable
King County,Parsimonious,2500,5,OLS,3,0.3556855184049957,0.2862203484671872,0.516630524343525,{},Not applicable
King County,Parsimonious,2500,5,OLS,4,0.3577027041374827,0.29611432281885,0.5752522841547102,{},Not applicable
King County,Parsimonious,2500,5,OLS,5,0.3493994417413993,0.2788869759867678,0.5678776003143374,{},Not applicable
King County,Extended,2500,5,OLS,1,0.2029727091810179,0.1521907048254697,0.8557005945139615,{},One-hot encoded
King County,Extended,2500,5,OLS,2,0.1980316399467605,0.1400171842184611,0.8781845474948743,{},One-hot encoded
King County,Extended,2500,5,OLS,3,0.1768725774423574,0.129867387631135,0.8804724923356289,{},One-hot encoded
King County,Extended,2500,5,OLS,4,0.1944723609858652,0.142113643769834,0.8744541449204044,{},One-hot encoded
King County,Extended,2500,5,OLS,5,0.1871464510377939,0.1421185952404864,0.8760274434708756,{},One-hot encoded
King County,Parsimonious,5000,5,OLS,1,0.3675082931658326,0.2945540129495855,0.5360982220455394,{},Not applicable
King County,Parsimonious,5000,5,OLS,2,0.3555233427475437,0.2857407298686762,0.5307314587259865,{},Not applicable
King County,Parsimonious,5000,5,OLS,3,0.3412315268396136,0.2775867217828159,0.5689877483123837,{},Not applicable
King County,Parsimonious,5000,5,OLS,4,0.3618851837898617,0.2881447237380569,0.5074848686470289,{},Not applicable
King County,Parsimonious,5000,5,OLS,5,0.3636679344273118,0.2906584371161155,0.5615678688277939,{},Not applicable
King County,Extended,5000,5,OLS,1,0.1869563438893897,0.1378270593447379,0.8799472363018025,{},One-hot encoded
King County,Extended,5000,5,OLS,2,0.1904472575170762,0.1400370551483331,0.8653412291571816,{},One-hot encoded
King County,Extended,5000,5,OLS,3,0.178437661527199,0.134363872631831,0.8821405628767375,{},One-hot encoded
King County,Extended,5000,5,OLS,4,0.1938589594852037,0.1415760286219262,0.8586649987535289,{},One-hot encoded
King County,Extended,5000,5,OLS,5,0.1911225943690581,0.1391432863041228,0.8789077304335602,{},One-hot encoded
King County,Parsimonious,21613,5,OLS,1,0.3560929799084882,0.2837500186619682,0.5512964261611135,{},Not applicable
