dataset,feature_specification,sample_size,metric,mean_difference,sd_difference,corrected_se_difference,ci_lower,ci_upper,n_folds
King County,Parsimonious,1000,RMSE,0.008394378339724484,0.007974605580356854,0.005349528051428126,-0.0064559115310399914,0.02324466821048896,5
King County,Parsimonious,2500,MAE,0.012947822970359546,0.0023057369750600436,0.0015467353843406984,0.008654085543429767,0.017241560397289322,5
King County,Parsimonious,2500,R2,0.025794157386158756,0.011842760236710315,0.00794436507915473,0.003740599926425229,0.047847714845892286,5
King County,Parsimonious,2500,RMSE,0.010649080726268,0.004239605222437739,0.00284401364254017,0.0027540988545764894,0.018544062597959512,5
King County,Parsimonious,5000,MAE,0.0070255966102289015,0.0013339444699699643,0.0008948371539188302,0.004541528670950229,0.009509664549507574,5
King County,Parsimonious,5000,R2,0.01361892115043899,0.004025781657903673,0.002700576434893325,0.00612212096717512,0.02111572133370286,5
King County,Parsimonious,5000,RMSE,0.005690308000354982,0.001874727261679416,0.0012576052789161634,0.002199195746083713,0.009181420254626252,5
King County,Parsimonious,10000,MAE,0.007408153743614898,0.0013352523314809795,0.0008957144940919657,0.0049216503080156005,0.009894657179214195,5
King County,Parsimonious,10000,R2,0.014287155588461853,0.0026149280912003414,0.00175414709045932,0.009417643265346783,0.019156667911576924,5
King County,Parsimonious,10000,RMSE,0.005911043773471114,0.001088629693589659,0.0007302749991573734,0.0038838003758102455,0.007938287171131982,5
King County,Parsimonious,21613,MAE,0.007721160070701338,0.0005813283154072409,0.0003899668891488087,0.006638611986424245,0.008803708154978431,5
King County,Parsimonious,21613,R2,0.015139037760531516,0.002068585508697429,0.0013876493444155303,0.011286923180434004,0.01899115234062903,5
King County,Parsimonious,21613,RMSE,0.006374191565899479,0.0010114937235564017,0.0006785306174059483,0.004490590571980566,0.008257792559818391,5
