"dataset","specification","sample_size","outer_folds","model","zipcode_representation","fold","rmse","mae","r2","best_params"
"Ames Housing","Extended","2000","5","TabPFN","Not applicable","4","0.115340082198702","0.0797404445440897","0.9124792118835364","{}"
"Ames Housing","Extended","2000","5","TabPFN","Not applicable","5","0.1204854612147584","0.0791259478545581","0.9000849600714906","{}"
"Ames Housing","Extended","2930","5","OLS","Not applicable","1","0.119822917744283","0.0910425853729168","0.9131228473142672","{}"
"Ames Housing","Extended","2930","5","OLS","Not applicable","2","0.1650138139284697","0.0943077571325452","0.8408815624465831","{}"
"Ames Housing","Extended","2930","5","OLS","Not applicable","3","0.1668210073955085","0.0925680154999336","0.8309138828066577","{}"
"Ames Housing","Extended","2930","5","OLS","Not applicable","4","0.1294672755252617","0.091701040885777","0.8970419202569131","{}"
"Ames Housing","Extended","2930","5","OLS","Not applicable","5","0.1238623545105265","0.0911996873309541","0.9077713904877336","{}"
"Ames Housing","Extended","2930","5","Ridge","Not applicable","1","0.1194285664967376","0.0894421113688793","0.913693752065492","{'model__alpha': 10}"
"Ames Housing","Extended","2930","5","Ridge","Not applicable","2","0.1664068860349295","0.0943502637368445","0.8381836172230706","{'model__alpha': 10}"
"Ames Housing","Extended","2930","5","Ridge","Not applicable","3","0.166869035281394","0.0925754681848674","0.8308165087664546","{'model__alpha': 0.1}"
"Ames Housing","Extended","2930","5","Ridge","Not applicable","4","0.1268211679979625","0.0901237333820681","0.9012075141495928","{'model__alpha': 10}"
"Ames Housing","Extended","2930","5","Ridge","Not applicable","5","0.1245423037470077","0.0911144000575704","0.906756023066484","{'model__alpha': 10}"
"Ames Housing","Extended","2930","5","Random Forest","Not applicable","1","0.123918885901059","0.089911030103693","0.90708179787803","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
"Ames Housing","Extended","2930","5","Random Forest","Not applicable","2","0.1529565334806188","0.0982341770909659","0.8632850631527338","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
"Ames Housing","Extended","2930","5","Random Forest","Not applicable","3","0.1498810644611748","0.0937578883083704","0.8635102588920142","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
"Ames Housing","Extended","2930","5","Random Forest","Not applicable","4","0.1324888987339361","0.0878330523601747","0.8921799828555103","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
"Ames Housing","Extended","2930","5","Random Forest","Not applicable","5","0.1352288773906947","0.0961545011671454","0.8900675558313365","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
"Ames Housing","Extended","2930","5","XGBoost","Not applicable","1","0.1143978924211917","0.0842510608243108","0.920811549622474","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Extended","2930","5","XGBoost","Not applicable","2","0.1427696403097006","0.0904674122997903","0.8808890654812003","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Extended","2930","5","XGBoost","Not applicable","3","0.1438049757457405","0.0871919493463264","0.8743523707184617","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
"Ames Housing","Extended","2930","5","XGBoost","Not applicable","4","0.1228141989705599","0.0813926855843887","0.9073516741333296","{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Extended","2930","5","XGBoost","Not applicable","5","0.1241077876807477","0.0859512450433853","0.907405526514344","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Extended","2930","5","TabPFN","Not applicable","1","0.0992125898730816","0.0712223265494077","0.9404393579041518","{}"
"Ames Housing","Extended","2930","5","TabPFN","Not applicable","2","0.1336582961583173","0.0817093775870645","0.8956069124873408","{}"
"Ames Housing","Extended","2930","5","TabPFN","Not applicable","3","0.1390564291616772","0.0797313895286524","0.8825133235799445","{}"
"Ames Housing","Extended","2930","5","TabPFN","Not applicable","4","0.1149856311833958","0.0764863322564945","0.9187866242057058","{}"
"Ames Housing","Extended","2930","5","TabPFN","Not applicable","5","0.110216184324844","0.077139437008756","0.926973961484432","{}"
"King County","Parsimonious","1000","5","OLS","Not applicable","1","0.3928723102590338","0.3028053874291349","0.5886756274568617","{}"
"King County","Parsimonious","1000","5","OLS","Not applicable","2","0.3543338207115496","0.2876906078776466","0.4782898870201112","{}"
"King County","Parsimonious","1000","5","OLS","Not applicable","3","0.3412560156552857","0.2697735430345252","0.5853249390790092","{}"
"King County","Parsimonious","1000","5","OLS","Not applicable","4","0.3823712465739435","0.3094986569557097","0.5514698880620181","{}"
"King County","Parsimonious","1000","5","OLS","Not applicable","5","0.3694440134115385","0.2969935984291817","0.5014529095544857","{}"
"King County","Parsimonious","1000","5","Ridge","Not applicable","1","0.3927873926189918","0.3029038835609789","0.5888534201862214","{'model__alpha': 1}"
"King County","Parsimonious","1000","5","Ridge","Not applicable","2","0.3550373253032037","0.2879241566307147","0.4762161938528869","{'model__alpha': 10}"
"King County","Parsimonious","1000","5","Ridge","Not applicable","3","0.3412006625605239","0.2698717751183097","0.5854594520857304","{'model__alpha': 10}"
"King County","Parsimonious","1000","5","Ridge","Not applicable","4","0.3831002248607827","0.3103065408136577","0.5497580418229933","{'model__alpha': 10}"
"King County","Parsimonious","1000","5","Ridge","Not applicable","5","0.3683553835791441","0.2967314431331971","0.504386688897446","{'model__alpha': 10}"
"King County","Parsimonious","1000","5","Random Forest","Not applicable","1","0.3906513037644573","0.3081783079887137","0.5933131231665636","{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
"King County","Parsimonious","1000","5","Random Forest","Not applicable","2","0.3499958742540905","0.2837267611847276","0.4909858084812627","{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
"King County","Parsimonious","1000","5","Random Forest","Not applicable","3","0.3336121349004707","0.26167237530285","0.6036937109937169","{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
